Sample,Group,Expression
MCL1.DH,Experiment,8.20383213861015
MCL1.DI,Experiment,6.87393216619611
MCL1.DJ,Experiment,6.88432084187415
MCL1.DK,Experiment,4.95701352021941
MCL1.DL,Experiment,4.95664565155431
MCL1.LA,Control,7.8456284302178
MCL1.LB,Control,7.95288052492124
MCL1.LC,Control,8.07402544874532
MCL1.LD,Control,8.76137354183592
MCL1.LE,Control,6.89302924146171
MCL1.LF,Control,6.26393851999604
MCL1.DG,Experiment,0.13337842360577
MCL1.DH,Experiment,0.342235945356382
MCL1.DI,Experiment,0.868250915092465
MCL1.DJ,Experiment,0.283400003110897
MCL1.DK,Experiment,0.825124007459959
MCL1.DL,Experiment,0.74665825110864
MCL1.LA,Control,1.6656631287501
MCL1.LB,Control,1.20924998726938
MCL1.LC,Control,2.60050689825847
MCL1.LD,Control,3.19988850770883
MCL1.LE,Control,5.96586926050609
MCL1.LF,Control,6.22356061096294
MCL1.DG,Experiment,3.00472144053519
MCL1.DH,Experiment,3.04763622439921
MCL1.DI,Experiment,2.75853054785607
MCL1.DJ,Experiment,3.23047968883511
MCL1.DK,Experiment,3.56846717139688
MCL1.DL,Experiment,3.54267562923196
MCL1.LA,Control,1.64926869049943
MCL1.LB,Control,0.650376715416886
MCL1.LC,Control,2.52398240609847
MCL1.LD,Control,2.99224704214752
MCL1.LE,Control,4.24207905508762
MCL1.LF,Control,4.21107602519162
MCL1.DG,Experiment,9.58062568004094
MCL1.DH,Experiment,9.81781815518275
MCL1.DI,Experiment,9.83854567151057
MCL1.DJ,Experiment,10.2138116051762
MCL1.DK,Experiment,10.538521399046
MCL1.DL,Experiment,10.4405509125219
MCL1.LA,Control,8.23018942379169
MCL1.LB,Control,8.025322692834
MCL1.LC,Control,6.94015971737447
MCL1.LD,Control,6.70704545505003
MCL1.LE,Control,5.48923938157301
MCL1.LF,Control,5.4435484528855
MCL1.DG,Experiment,5.37223805653099
MCL1.DH,Experiment,5.57935670384338
MCL1.DI,Experiment,7.2408302081365
MCL1.DJ,Experiment,7.14327692541035
MCL1.DK,Experiment,3.74775545207164
MCL1.DL,Experiment,3.15302344837303
MCL1.LA,Control,8.98906780377256
MCL1.LB,Control,9.0036184176111
MCL1.LC,Control,8.60507462663729
MCL1.LD,Control,9.28079531729877
MCL1.LE,Control,6.31524146416129
MCL1.LF,Control,5.75413157417885
MCL1.DG,Experiment,9.34155470827982
MCL1.DH,Experiment,9.28418138338849
MCL1.DI,Experiment,9.19558807159001
MCL1.DJ,Experiment,9.0936448419338
MCL1.DK,Experiment,9.14116202582204
MCL1.DL,Experiment,9.15657222922142
MCL1.LA,Control,9.86691486965771
MCL1.LB,Control,9.75965975342762
MCL1.LC,Control,9.95601241139742
MCL1.LD,Control,10.1736339564442
MCL1.LE,Control,9.45734974731188
MCL1.LF,Control,9.19857546044393
MCL1.DG,Experiment,1.27503957282936
MCL1.DH,Experiment,1.83838917911968
MCL1.DI,Experiment,-0.903124709859572
MCL1.DJ,Experiment,-0.55484892689249
MCL1.DK,Experiment,0.354233273447598
MCL1.DL,Experiment,-0.398772188412923
MCL1.LA,Control,-1.55401490788931
MCL1.LB,Control,-1.13389459352768
MCL1.LC,Control,0.351247871069336
MCL1.LD,Control,1.50234673839797
MCL1.LE,Control,4.25946113331585
MCL1.LF,Control,4.49413122843469
MCL1.DG,Experiment,5.26266144055074
MCL1.DH,Experiment,5.01845619098261
MCL1.DI,Experiment,6.20431786082298
MCL1.DJ,Experiment,6.11629001727564
MCL1.DK,Experiment,6.16204009685295
MCL1.DL,Experiment,6.04818576579206
MCL1.LA,Control,3.65543845773964
MCL1.LB,Control,3.58085972154837
MCL1.LC,Control,3.5817529381931
MCL1.LD,Control,4.05131938206391
MCL1.LE,Control,1.39931879689882
MCL1.LF,Control,2.37541745319991
MCL1.DG,Experiment,7.4439551419464
MCL1.DH,Experiment,6.87443192904521
MCL1.DI,Experiment,7.10790971056495
MCL1.DJ,Experiment,7.13948257624248
MCL1.DK,Experiment,6.0792855460703
MCL1.DL,Experiment,5.70467458590096
MCL1.LA,Control,6.63242518033602
MCL1.LB,Control,6.46739473482521
MCL1.LC,Control,6.65694965154211
MCL1.LD,Control,7.0218120659355
MCL1.LE,Control,4.4329013974232
MCL1.LF,Control,3.74906058463143
MCL1.DG,Experiment,1.25413058306638
MCL1.DH,Experiment,1.4156981072974
MCL1.DI,Experiment,0.838807137199983
MCL1.DJ,Experiment,1.36654123841114
MCL1.DK,Experiment,0.354233273447598
MCL1.DL,Experiment,0.579201505257078
MCL1.LA,Control,0.175337502167017
MCL1.LB,Control,0.681073512639802
MCL1.LC,Control,3.47545989846688
MCL1.LD,Control,4.12649850469311
MCL1.LE,Control,5.19618134513878
MCL1.LF,Control,5.11185642022361
MCL1.DG,Experiment,6.92985587224565
MCL1.DH,Experiment,6.95055973673567
MCL1.DI,Experiment,6.4529097864237
MCL1.DJ,Experiment,6.60624477389962
MCL1.DK,Experiment,6.82426772390081
MCL1.DL,Experiment,6.93377301384847
MCL1.LA,Control,10.067916457113
MCL1.LB,Control,10.2653437649818
MCL1.LC,Control,1.46087236224383
MCL1.LD,Control,1.2862133075332
MCL1.LE,Control,3.01189352882783
MCL1.LF,Control,2.8087668307557
MCL1.DG,Experiment,4.23957782743769
MCL1.DH,Experiment,4.39897474970628
MCL1.DI,Experiment,7.59520870194098
MCL1.DJ,Experiment,7.17533813464265
MCL1.DK,Experiment,7.36428281856799
MCL1.DL,Experiment,7.35995576516403
MCL1.LA,Control,10.0711411646354
MCL1.LB,Control,10.0268872481979
MCL1.LC,Control,12.6537515189462
MCL1.LD,Control,13.1374694117569
MCL1.LE,Control,15.1434899493457
MCL1.LF,Control,15.3119224101232
MCL1.DG,Experiment,4.17707843901007
MCL1.DH,Experiment,4.45481160590508
MCL1.DI,Experiment,5.54324561667609
MCL1.DJ,Experiment,5.69135184183163
MCL1.DK,Experiment,4.96945956469232
MCL1.DL,Experiment,4.93512854814051
MCL1.LA,Control,5.5272933204009
MCL1.LB,Control,5.21384979316382
MCL1.LC,Control,6.96724848653386
MCL1.LD,Control,7.02017015182707
MCL1.LE,Control,4.65930080162834
MCL1.LF,Control,4.81460377077798
MCL1.DG,Experiment,4.00940805550953
MCL1.DH,Experiment,4.16031727400704
MCL1.DI,Experiment,3.51734375323334
MCL1.DJ,Experiment,3.68384530677306
MCL1.DK,Experiment,4.15615430945457
MCL1.DL,Experiment,4.41947104978742
MCL1.LA,Control,5.02222078841126
MCL1.LB,Control,5.48245003267848
MCL1.LC,Control,0.927748793042295
MCL1.LD,Control,1.19601549856163
MCL1.LE,Control,3.74612156042521
MCL1.LF,Control,3.34884773279601
